estimator,mean_abs_yaw_error_deg,rmse_yaw_error_deg,max_abs_yaw_error_deg
Wheel,12.692253502368015,15.220059193753574,26.274282301107494
EKF,9.138472973479251,11.399748126305019,25.499838826805203
