t_ns,x,y,yaw
1778741843471600906,-0.0015416128920141868,4.6555580570287516e-07,-9.749589717003031e-06
1778741843473589585,-0.0015487659455026312,2.3538156322112797e-07,7.174777335558887e-05
1778741843474860677,-0.0015556795215085537,7.201876068352241e-07,6.702461894648026e-05
1778741843475191478,-0.001561878600629146,6.081232512009389e-07,-6.41724733310359e-06
1778741843475602471,-0.001567600776588233,6.147185585964485e-07,5.404408248311119e-05
1778741843478076264,-0.0015737999823854294,2.581704463071117e-08,5.9957307473089174e-05
1778741843479129411,-0.0015799984485673666,6.290081096316347e-07,5.4699947407954754e-05
1778741843480427574,-0.0015864364989871607,1.5959102858984697e-07,5.163215811171556e-05
1778741843480855389,-0.0015923967099893915,-7.195777757183041e-08,6.095959910432221e-05
1778741843481931750,-0.001599071972577499,7.702014843461665e-07,5.447961188681363e-05
1778741843482755069,-0.0016050334344785023,-5.7392951169736956e-08,-1.788512133120257e-05
1778741843483563289,-0.001611470696765811,-1.6918268276449753e-07,-7.138770360973839e-06
1778741843484307046,-0.0016174298356375941,6.721515276042598e-07,-1.5604911149574018e-05
1778741843485132409,-0.00162529818334164,2.043830885752002e-07,-2.6879450659576982e-06
1778741843485757019,-0.0016324502678804775,5.702546866889925e-07,6.816834925427607e-05
1778741843486796730,-0.0016379337509150335,8.149936147452909e-07,6.43996026008988e-05
1778741843487271905,-0.0016441334879170127,7.029297520074035e-07,-1.686519880563749e-05
1778741843487817635,-0.0016503327335567475,-1.2439035872750261e-07,-5.60996878315777e-06
1778741843488923081,-0.001656769413550154,7.174939798924425e-07,-9.909509290536995e-06
1778741843489694311,-0.00166249192049873,8.833655411430403e-09,5.843571499439213e-05
1778741843490425654,-0.0016691675375720906,1.3573730305634824e-07,6.394565375831528e-05
1778741843491120548,-0.0016756047906616137,5.007848178102537e-07,-1.3712203035402483e-05
1778741843492005775,-0.001681565383219356,-3.268102690330324e-07,5.9771386187234834e-05
1778741843492770001,-0.001687763668584172,5.147992871164035e-07,5.844656366532388e-05
1778741843492900680,-0.0016942019304658407,4.538236450560028e-08,-1.427806292100036e-05
1778741843494034871,-0.0017004000733303749,5.2526620721631475e-08,6.25542657881278e-05
1778741843495204640,-0.0017070752184396632,8.946857946224145e-07,5.7560584138755905e-05
1778741843496067454,-0.001712559585638556,6.654156532073583e-08,5.3854322988349834e-05
1778741843497022223,-0.001719235759461259,-4.497299652777417e-08,-1.1495556780623011e-05
1778741843497619822,-0.001725672217269307,4.392832356971044e-07,5.7103609891742034e-05
